Loaded plugins: langpacks, presto, refresh-packagekit
Installed Packages
glusterfs.x86_64                           3.3.1-14.fc18                @updates
glusterfs-fuse.x86_64                      3.3.1-14.fc18                @updates
glx-utils.x86_64                           8.1.0-3.fc18                 @updates
gmime.x86_64                               2.6.12-1.fc18                @koji-override-0/$releasever
gmp.x86_64                                 1:5.0.5-3.fc18               @koji-override-0/$releasever
gnome-abrt.x86_64                          0.2.10-1.fc18                @updates
gnome-backgrounds.noarch                   3.6.1-1.fc18                 @koji-override-0/$releasever
gnome-bluetooth.x86_64                     1:3.6.1-2.fc18               @koji-override-0/$releasever
gnome-bluetooth-libs.x86_64                1:3.6.1-2.fc18               @koji-override-0/$releasever
gnome-boxes.x86_64                         3.6.3-1.fc18                 @updates
gnome-clocks.noarch                        0.1.5-1.fc18                 @koji-override-0/$releasever
gnome-color-manager.x86_64                 3.6.1-1.fc18                 @updates
gnome-contacts.x86_64                      3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-desktop3.x86_64                      3.6.3-1.fc18                 @updates
gnome-dictionary.x86_64                    3.6.0-1.fc18                 @koji-override-0/$releasever
gnome-disk-utility.x86_64                  3.6.1-1.fc18                 @koji-override-0/$releasever
gnome-documents.x86_64                     3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-dvb-daemon.x86_64                    0.2.10-1.fc18                @koji-override-0/$releasever
gnome-font-viewer.x86_64                   3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-icon-theme.noarch                    3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-icon-theme-extras.noarch             3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-icon-theme-legacy.noarch             3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-icon-theme-symbolic.noarch           3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-js-common.noarch                     0.1.2-6.fc18                 @koji-override-0/$releasever
gnome-keyring.x86_64                       3.6.3-1.fc18                 @updates
gnome-keyring-pam.x86_64                   3.6.3-1.fc18                 @updates
gnome-menus.x86_64                         3.6.1-1.fc18                 @koji-override-0/$releasever
gnome-online-accounts.x86_64               3.6.3-1.fc18                 @updates
gnome-packagekit.x86_64                    3.6.2-1.fc18                 @updates
gnome-panel.x86_64                         3.6.2-2.fc18                 @updates
gnome-panel-libs.x86_64                    3.6.2-2.fc18                 @updates
gnome-python2.x86_64                       2.28.1-9.fc18                @koji-override-0/$releasever
gnome-python2-canvas.x86_64                2.28.1-9.fc18                @koji-override-0/$releasever
gnome-python2-desktop.x86_64               2.32.0-12.fc18               @koji-override-0/$releasever
gnome-python2-gnomekeyring.x86_64          2.32.0-12.fc18               @koji-override-0/$releasever
gnome-screensaver.x86_64                   3.6.1-1.fc18                 @koji-override-0/$releasever
gnome-screenshot.x86_64                    3.6.1-1.fc18                 @koji-override-0/$releasever
gnome-session.x86_64                       3.6.2-4.fc18                 @updates
gnome-session-xsession.x86_64              3.6.2-4.fc18                 @updates
gnome-settings-daemon.x86_64               3.6.4-3.fc18                 @updates
gnome-settings-daemon-updates.x86_64       3.6.4-3.fc18                 @updates
gnome-sharp.x86_64                         2.24.1-10.fc18               @fedora 
gnome-shell.x86_64                         3.6.3.1-1.fc18               @updates
gnome-shell-extension-common.noarch        3.6.2-1.fc18                 @updates
gnome-shell-extension-user-theme.noarch    3.6.2-1.fc18                 @updates
gnome-system-log.x86_64                    1:3.6.1-2.fc18               @koji-override-0/$releasever
gnome-system-monitor.x86_64                3.6.1-3.fc18                 @koji-override-0/$releasever
gnome-terminal.x86_64                      3.6.1-2.fc18                 @updates
gnome-themes-standard.x86_64               3.6.5-1.fc18                 @updates
gnome-tweak-tool.noarch                    3.6.1-2.fc18                 @fedora 
gnome-user-docs.noarch                     3.6.2-1.fc18                 @koji-override-0/$releasever
gnome-vfs2.x86_64                          2.24.4-10.fc18               @updates
gnome-video-effects.noarch                 0.4.0-4.fc18                 @koji-override-0/$releasever
gnu-free-fonts-common.noarch               20120503-4.fc18              @updates
gnu-free-mono-fonts.noarch                 20120503-4.fc18              @updates
gnu-free-sans-fonts.noarch                 20120503-4.fc18              @updates
gnu-free-serif-fonts.noarch                20120503-4.fc18              @updates
gnupg.x86_64                               1.4.13-2.fc18                @fedora 
gnupg2.x86_64                              2.0.19-7.fc18                @koji-override-1/$releasever
gnutls.x86_64                              2.12.23-1.fc18               @updates
gnutls-utils.x86_64                        2.12.23-1.fc18               @updates
gobject-introspection.x86_64               1.34.2-1.fc18                @koji-override-0/$releasever
google-chrome-stable.x86_64                26.0.1410.63-192696          @/google-chrome-stable_current_x86_64
gpgme.x86_64                               1.3.2-1.fc18                 @koji-override-0/$releasever
gpm-libs.x86_64                            1.20.6-26.fc18               @updates
graphite2.x86_64                           1.1.1-4.fc18                 @updates
grep.x86_64                                2.14-1.fc18                  @koji-override-0/$releasever
grilo.x86_64                               0.2.4-1.fc18                 @koji-override-0/$releasever
grilo-plugins.x86_64                       0.2.5-1.fc18                 @updates
groff-base.x86_64                          1.22.1-2.fc18                @updates
grub2.x86_64                               1:2.00-15.fc18               @updates
grub2-efi.x86_64                           1:2.00-15.fc18               @updates
grub2-tools.x86_64                         1:2.00-15.fc18               @updates
grubby.x86_64                              8.22-1.fc18                  @updates
